name,num,col,col1,col2,wish,day,price,day1,price1,price2,price3,min,brand,category,high/low,W1M0,line,scrap,disrupt,X,event,prm,emb
Adidas Yeezy 450 Dark Slate, GY5368 , DARK SLATE/DARK SLATE/DARK SLATE ,black,black,948, 21/06/26 ,"269,000",2021.6.26,362000,367000,328250,250000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy 500 Ash Grey, GX3607 , ASH GREY/ASH GREY/ASH GREY ,gray,gray,"2,594", 21/12/04 ,"269,000",2021.12.4,323636,330333,315143,265167,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy 500 Clay Brown, GX3606 , CLAY BROWN/CLAY BROWN/CLAY BROWN ,brown,brown,856, 21/10/30 ,"249,000",2021.10.30,282263,275667,269250,243500,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy 500 Enflame, GZ5541 , ENFLAME/ENFLAME/ENFLAME ,mix,orange,379, 21/05/08 ,"249,000",2021.5.8,257000,266500,244636,230500,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy 500 Salt, EE7287 , SALT/SALT/SALT ,white,ivory,"1,798", 18/12/01 ,"239,400",2020.5.9,340000,340000,340000,320000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy 500 Taupe Light, GX3605 , TAUPE LIGHT/TAUPE LIGHT/TAUPE LIGHT ,beige,beige,"2,555", 21/06/05 ,"249,000",2021.6.5,348273,338300,321176,294667,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy 700 V3 Alvah, H67799 , ALVAH ,black,black,"1,260", 20/04/11 ,"249,000",2020.4.11,500000,493333,464619,403000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy 700 V3 Arzareth, G54850 , ARZARETH/ARZARETH-ARZARETH ,blue,blue,680, 20/08/29 ,"269,000",2020.8.29,454750,460429,446941,343667,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy 700 V3 Clay Brown, GY0189 , CLAY BROWN ,gray,brown,871, 20/12/21 ,"269,000",2020.12.21,307545,302444,284455,250000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy 700 V3 Dark Glow, GX6144 , DARK GLOW/DARK GLOW/DARK GLOW ,gray,black,528, 21/08/02 ,"239,400",2021.8.14,269000,269000,269000,236000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy 700 V3 Kyanite, GY0260 , KYANITE/KYANITE/KYANITE ,white,blue,"2,442", 21/03/25 ,"269,000",2021.3.24,400000,380750,294682,260000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy 700 V3 Safflower, G54853 , SAFFLOWER/SAFFLOWER/SAFFLOWER ,white,yellow,871, 20/11/14 ,"269,000",2020.11.13,350000,351250,328250,292250,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 700 Bright Blue, GZ0541 , BRIGHT BLUE/BRIGHT BLUE/BRIGHT BLUE ,blue,orange,293, 21/04/24 ,"309,000",2021.4.24,377667,350000,334500,266000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 700 Enflame Amber, GW0297 , ENFLAME AMBER/ENFLAME AMBER/ENFLAME AMBER ,beige,sand,574, 21/06/11 ,"309,000",2021.6.11,323875,312750,301000,250000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 700 MNVN Triple Black, FV4440 , BLACK/BLACK/BLACK ,black,black,764, 20/05/23 ,"289,000",2020.4.19,420000,420000,420000,353667,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 700 V2 Cream, GY7924 , CREAM/CREAM-CREAM ,ivory,ivory,"2,647", 21/03/13 ,"309,000",2021.3.12,622000,642000,679000,464000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 700 V2 Mauve, GZ0724 , MAUVE/MAUVE/MAUVE ,gray,gray,751, 21/09/25 ,"309,000",2021.9.25,344455,343667,329760,314000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy Boost 700 Wash Orange, GW0296 , WASH ORANGE/WASH ORANGE/WASH ORANGE ,blue,orange,362, 21/10/15 ,"309,000",2021.10.16,324500,319000,319000,245000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy QNTM Barium, H68771 , BARIUM/BARIUM/BARIUM ,beige,black,800, 20/06/25 ,"329,000",2020.6.25,542600,485118,525455,426000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy QNTM Lifestyle, Q46473 , QNTM ,black,black,"1,294", 20/09/05 ,"329,000",2020.6.8,1250000,1250000,1250000,411000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
Adidas Yeezy QNTM Onyx, GX1317 , ONYX/ONYX/ONYX ,gray,black,425, 21/09/10 ,"355,100",2021.9.10,375000,330000,330000,200000,Adidas,Yeezy,low,0.0,NM,0.0,0.0,0.0,0.0,0.0,0.0
